Period,Number,Small or Big
20250216100011231,6,Big
20250216100011230,8,Big
20250216100011229,6,Big
20250216100011228,8,Big
20250216100011227,5,Big
20250216100011226,4,Small
20250216100011225,6,Big
20250216100011224,6,Big
20250216100011223,7,Big
20250216100011222,2,Small
20250216100011241,7,Big
20250216100011240,6,Big
20250216100011239,6,Big
20250216100011238,2,Small
20250216100011237,4,Small
20250216100011236,9,Big
20250216100011235,9,Big
20250216100011234,0,Small
20250216100011233,0,Small
20250216100011232,0,Small
20250216100011251,1,Small
20250216100011250,8,Big
20250216100011249,6,Big
20250216100011248,0,Small
20250216100011247,9,Big
20250216100011246,3,Small
20250216100011245,8,Big
20250216100011244,1,Small
20250216100011243,6,Big
20250216100011242,1,Small
20250216100011271,9,Big
20250216100011270,2,Small
20250216100011269,7,Big
20250216100011268,1,Small
20250216100011267,6,Big
20250216100011266,1,Small
20250216100011265,5,Big
20250216100011264,1,Small
20250216100011263,6,Big
20250216100011262,3,Small
20250216100011281,8,Big
20250216100011280,3,Small
20250216100011279,7,Big
20250216100011278,8,Big
20250216100011277,6,Big
20250216100011276,6,Big
20250216100011275,7,Big
20250216100011274,1,Small
20250216100011273,1,Small
20250216100011272,0,Small
20250216100011291,6,Big
20250216100011290,5,Big
20250216100011289,5,Big
20250216100011288,0,Small
20250216100011287,3,Small
20250216100011286,6,Big
20250216100011285,9,Big
20250216100011284,7,Big
20250216100011283,6,Big
20250216100011282,9,Big
20250216100011301,8,Big
20250216100011300,5,Big
20250216100011299,1,Small
20250216100011298,3,Small
20250216100011297,7,Big
20250216100011296,4,Small
20250216100011295,9,Big
20250216100011294,7,Big
20250216100011293,7,Big
20250216100011292,2,Small
20250216100011311,9,Big
20250216100011310,0,Small
20250216100011309,4,Small
20250216100011308,9,Big
20250216100011307,2,Small
20250216100011306,7,Big
20250216100011305,5,Big
20250216100011304,9,Big
20250216100011303,8,Big
20250216100011302,0,Small
20250216100011321,3,Small
20250216100011320,2,Small
20250216100011319,9,Big
20250216100011318,3,Small
20250216100011317,1,Small
20250216100011316,1,Small
20250216100011315,1,Small
20250216100011314,9,Big
20250216100011313,7,Big
20250216100011312,5,Big
20250216100011331,4,Small
20250216100011330,7,Big
20250216100011329,0,Small
20250216100011328,1,Small
20250216100011327,4,Small
20250216100011326,0,Small
20250216100011325,7,Big
20250216100011324,0,Small
20250216100011323,6,Big
20250216100011322,1,Small
20250216100011341,5,Big
20250216100011340,7,Big
20250216100011339,2,Small
20250216100011338,8,Big
20250216100011337,8,Big
20250216100011336,9,Big
20250216100011335,1,Small
20250216100011334,2,Small
20250216100011333,6,Big
20250216100011332,7,Big
20250216100011351,8,Big
20250216100011350,5,Big
20250216100011349,2,Small
20250216100011348,1,Small
20250216100011347,6,Big
20250216100011346,2,Small
20250216100011345,8,Big
20250216100011344,5,Big
20250216100011343,9,Big
20250216100011342,6,Big
20250216100011361,4,Small
20250216100011360,1,Small
20250216100011359,6,Big
20250216100011358,1,Small
20250216100011357,4,Small
20250216100011356,3,Small
20250216100011355,2,Small
20250216100011354,3,Small
20250216100011353,7,Big
20250216100011352,4,Small
20250216100011381,0,Small
20250216100011380,6,Big
20250216100011379,2,Small
20250216100011378,3,Small
20250216100011377,1,Small
20250216100011376,4,Small
20250216100011375,1,Small
20250216100011374,9,Big
20250216100011373,6,Big
20250216100011372,8,Big
20250216100011401,3,Small
20250216100011400,7,Big
20250216100011399,2,Small
20250216100011398,3,Small
20250216100011397,3,Small
20250216100011396,4,Small
20250216100011395,5,Big
20250216100011394,6,Big
20250216100011393,3,Small
20250216100011392,2,Small
20250216100011410,9,Big
20250216100011409,4,Small
20250216100011408,6,Big
20250216100011407,0,Small
